title,description,NER
Bangladeshi killed in Saudi road accident,"Bangladeshi killed in Saudi road accidentA Bangladeshi man has been killed in a road accident in Saudi Arabia's capital of Riyadh.The deceased was identified as Syed Md Nazrul Islam, 40, son of late Nurul Alam of Saroatali in Boalkhali upazila.Victim's cousin Abul Hasnat Titu on Monday night said, Nazrul was going to his workplace by a motorcycle when a vehicle coming from the opposite direction crashed into it around 11pm on Saturday, leaving him dead on the spot.Nazrul had been working in a shop in Riyadh since 1998, he said.UNB/TF ","[('Bangladeshi', 'NORP'), ('Saudi', 'NORP'), ('Bangladeshi', 'NORP'), (""Saudi Arabia's"", 'GPE'), ('Riyadh', 'GPE'), ('Syed Md Nazrul Islam', 'PERSON'), ('40', 'DATE'), ('Nurul Alam', 'PERSON'), ('Saroatali', 'GPE'), ('Boalkhali', 'GPE'), ('Abul Hasnat Titu', 'PERSON'), ('Monday night', 'TIME'), ('Nazrul', 'PERSON'), ('around 11pm', 'TIME'), ('Saturday', 'DATE'), ('Nazrul', 'PERSON'), ('Riyadh', 'GPE'), ('1998', 'DATE'), ('UNB/TF', 'ORG')]"
Two killed in Rangpur road accidents,"		RANGPUR, Aug 19: Two persons were killed in separate road accidents at different places in Mithapukur and Pirgachha upazilas of the district on Sunday night, police said.A bicyclist man was killed on the spot after being hit by an unidentified truck in the outskirts of Mithapukur upazila town on the Rangpur-Dhaka highway in Mithapukur upazila at 9:00pm on Sunday.""The deceased was identified as Nur Ali, 57, son of late Mofiz Uddin of nearby village Sheetgari in the same upazila,"" Officer-in-Charge (OC) of Mithapukur Thana Jafar Ali said on Monday.In another road accident, a pedestrian woman was killed on the spot after a trolley hit her at Paotana point on the Pirgachha-Rangpur road in Pirgachha upazila at 8:30 pm last night.""The deceased woman was identified as Rochimon Bewa, 50, wife of late Akhter Ali of village Paotana in Pirgachha upazila,"" said OC Rezaul Karim of Pirgachha Thana. Two separate cases were filed in these connections with the respective police stations.        -BSS                                                                                	    ","[('RANGPUR', 'GPE'), ('Two', 'CARDINAL'), ('Mithapukur', 'GPE'), ('Pirgachha', 'GPE'), ('Sunday night', 'TIME'), ('Mithapukur', 'GPE'), ('Rangpur', 'GPE'), ('Mithapukur', 'GPE'), ('9:00pm on', 'TIME'), ('Sunday', 'DATE'), ('Nur Ali', 'PERSON'), ('57', 'DATE'), ('Mofiz Uddin', 'PERSON'), ('Sheetgari', 'GPE'), ('Mithapukur Thana', 'GPE'), ('Jafar Ali', 'PERSON'), ('Monday', 'DATE'), ('Paotana', 'GPE'), ('Pirgachha', 'GPE'), ('8:30 pm', 'TIME'), ('last night', 'TIME'), ('Rochimon Bewa', 'PERSON'), ('50', 'DATE'), ('Akhter Ali', 'PERSON'), ('Paotana', 'GPE'), ('Rezaul Karim', 'PERSON'), ('Pirgachha Thana', 'GPE'), ('Two', 'CARDINAL')]"
2 killed in Mymensingh road accidents,"		MYMENSINGH, Aug 18: Two persons were killed and four others injured in separate road accidents in the district on Sunday, police said.Officer-in-charge of Fulpur Police Station, Imarat Hossain Gazi said that an accident occurred when a CNG-run auto-rickshaw was hit from behind by a passenger bus in Mymensingh-Sherpur road near Fulpur Upazilla's Hossainpur area, leaving a teenager dead on the spot and wounding four others.The victim was Sayem, 15, of Polashia village of Nalitabari upazila of Sherpur district.The injured were victim's father Dudu Mia, 45, mother Monira Begum, 40, sister Mafia Begum, 5, and Sunil Saha, 40, of Gayrakanda village.In other accident that took place at 8.00 this morning when a microbus on its way to Fulpur hit a woman - Rezia Khatun, 55 - from behind in front of Upazilla Health Complex, locals said.She was rushed to a local hospital. She died in the afternoon. ","[('MYMENSINGH', 'GPE'), ('Two', 'CARDINAL'), ('four', 'CARDINAL'), ('Sunday', 'DATE'), ('Fulpur', 'GPE'), ('Imarat Hossain Gazi', 'PERSON'), ('CNG', 'ORG'), ('Mymensingh', 'GPE'), (""Fulpur Upazilla's"", 'GPE'), ('Hossainpur', 'GPE'), ('four', 'CARDINAL'), ('Sayem', 'PERSON'), ('15', 'DATE'), ('Polashia village', 'GPE'), ('Nalitabari upazila', 'LOC'), ('Sherpur', 'GPE'), ('Dudu Mia', 'PERSON'), ('45', 'DATE'), ('Monira Begum', 'PERSON'), ('40', 'DATE'), ('Mafia Begum', 'PERSON'), ('5', 'DATE'), ('Sunil Saha', 'PERSON'), ('40', 'DATE'), ('Gayrakanda', 'GPE'), ('8.00 this morning', 'TIME'), ('Fulpur', 'GPE'), ('Rezia Khatun', 'PERSON'), ('55', 'DATE'), ('Upazilla Health Complex', 'FAC'), ('the afternoon', 'TIME')]"
Woman killed in Bogura road accident,"Woman killed in Bogura road accident A woman was killed and five others were injured in a road accident in Sonatala upazila of Bogura district on Saturday afternoon.Deceased Kohinur Begum, 40, was the wife of Ataur Rahman Sheikh, a resident of Aguniatair village under Sontala Municipality.Two CNG-run auto rickshaws collided head-on in Kiniamara Bridge area around 2:00 am, leaving six people injured. The injured people were rushed to Sontala Upazila Health Complex and Shaheed Ziaur Rahman Medical College Hospital (SZMC). Kohinur died on way to SZMC.Sonatala Police Station OC Abdullah Al Masud confirmed the matter. MUS/GY                                                                                  ","[('Bogura', 'GPE'), ('five', 'CARDINAL'), ('Sonatala', 'GPE'), ('Bogura', 'GPE'), ('Saturday', 'DATE'), ('Kohinur Begum', 'PERSON'), ('40', 'DATE'), ('Ataur Rahman Sheikh', 'PERSON'), ('Aguniatair', 'GPE'), ('Sontala Municipality', 'GPE'), ('Two', 'CARDINAL'), ('CNG', 'ORG'), ('Kiniamara Bridge', 'FAC'), ('around 2:00 am', 'TIME'), ('six', 'CARDINAL'), ('Sontala Upazila Health Complex', 'FAC'), ('Shaheed Ziaur Rahman Medical College Hospital', 'ORG'), ('Kohinur', 'PERSON'), ('Abdullah Al Masud', 'PERSON')]"
Motorcyclist killed in road accident,"Motorcyclist killed in road accidentA motorcyclist was killed and two others were injured in a road accident in Godagari upazila of Rajshahi district on Friday night.Deceased Mominul Haque, 16, was the son of Muradul Islam, a resident of Kochua village in the upazila. A motorcycle collided head-on with another motorcycle in Kadipur area on the Rajshahi-Chapainawabganj highway around 8:00pm, leaving Mominul dead on the spot and two others injured, said Shree Nitish Kumar, in-charge of Premtoli police outpost. The injured were taken to Rajshahi Medical College Hospital.MUS/GY (function(){(function(e){if(e){var t=e.cloneNode;e.cloneNode=function(n){var i=t.call(e,n);if(e.classList.contains(""mceContentBody""))i.innerHTML=e.innerHTML,r(i);else try{o(i)}catch(e){}return i},o(e)}function n(e){if(e.parentNode)if(e.childNodes.length>1){for(var t=document.createDocumentFragment();e.childNodes.length>0;)t.appendChild(e.childNodes[0]);e.parentNode.replaceChild(t,e)}else e.firstChild?e.parentNode.replaceChild(e.firstChild,e):e.parentNode.removeChild(e)}function r(e){if(e)try{for(var t=e.querySelectorAll("".gr_""),r=t.length,o=0;o	    ","[('two', 'CARDINAL'), ('Godagari', 'GPE'), ('Rajshahi', 'GPE'), ('Friday night', 'TIME'), ('Mominul Haque', 'PERSON'), ('16', 'DATE'), ('Muradul Islam', 'PERSON'), ('Kochua', 'GPE'), ('Kadipur', 'GPE'), ('Rajshahi', 'GPE'), ('around 8:00pm,', 'TIME'), ('Mominul', 'PERSON'), ('two', 'CARDINAL'), ('Shree Nitish Kumar', 'PERSON'), ('Premtoli', 'GPE'), ('Rajshahi Medical College Hospital.', 'ORG')]"
2 Bangladeshis killed in Kolkata road accident,"Two Bangladeshi citizens were killed and another injured in a bizarre late- Friday-night road accident in south Kolkata when a Jaguar travelling at high speed hit a Mercedes sedan which was flung on a Kolkata Police traffic post killing the victims who had taken shelter under it from rain. Two Bangladeshis were killed and another injured after a speeding Jaguar vehicle jumped the traffic signal and hit another Mercedes car, before crashing into them under a police traffic post  in India’s Kolkata early Saturday.The deceased were identified as Kazi Mohammad Mainul Alam (36) and Farhana Islam Tania (28). The accident took place around 1:50 am, only a few metres from the Shakespeare Sarani police station, Hindustan Times reports. “Hearing the impact, cops came running out and took the injured to the hospital, where the two were declared dead,” said a police officer, who refused to be identified.An official of Bangladesh deputy high commission in Kolkata said that Kazi Mohammad, a resident of Jhinaidaha in Bangladesh was in Kolkata for eye treatment and Farhana Islam Tania used to work for Citibank. “We have not been able to speak to the third person, who, we gather, was released after treatment,” said the Bangladeshi official.Policemen say they have identified the owner of the Jaguar bearing registration number - WB20AU9797. “The vehicle belonged to a biryani outlet on Park Street. We have identified the owner. The culprit would be arrested shortly,” said an officer.The Jaguar was speeding at over 100 km per hour at the time of the accident. The absconding driver has been booked for culpable homicide not amounting to murder and rash driving along with some sections of the Motor Vehicles Act.According to the police, the occupants of the Mercedes were also injured but were released after initial treatment. Police officers did not reveal their identity.The bodies of the two victims who had come to Kolkata about two weeks ago are likely to be handed over on Saturday evening.“The bodies are at the morgue of the SSKM Hospital,” the Bangladeshi official said.Only on August 15 night, the son of Bharatiya Janata Party MP Roopa Ganguly was arrested for rash driving when his car hit a wall in Golf Garden area of south Kolkata. However, none was injured in that accident.Vehicles, speeding especially at night, are a headache for the city administration. Chief minister Mamata Banerjee has been personally monitoring a road safety programme over the past two years. ","[('Two', 'CARDINAL'), ('Bangladeshi', 'NORP'), ('Kolkata', 'GPE'), ('Jaguar', 'ORG'), ('Mercedes', 'ORG'), ('Kolkata Police', 'ORG'), ('Two', 'CARDINAL'), ('Bangladeshis', 'NORP'), ('Jaguar', 'ORG'), ('Mercedes', 'ORG'), ('India', 'GPE'), ('Kolkata', 'GPE'), ('early Saturday', 'TIME'), ('Kazi Mohammad Mainul Alam', 'PERSON'), ('36', 'DATE'), ('Farhana Islam Tania', 'PERSON'), ('28', 'DATE'), ('around 1:50 am', 'TIME'), ('only a few metres', 'QUANTITY'), ('Shakespeare Sarani', 'FAC'), ('Hindustan Times', 'ORG'), ('two', 'CARDINAL'), ('Bangladesh', 'GPE'), ('Kolkata', 'GPE'), ('Kazi Mohammad', 'PERSON'), ('Jhinaidaha', 'GPE'), ('Bangladesh', 'GPE'), ('Kolkata', 'GPE'), ('Farhana Islam Tania', 'PERSON'), ('Citibank', 'ORG'), ('third', 'ORDINAL'), ('Bangladeshi', 'NORP'), ('Jaguar', 'PRODUCT'), ('Park Street', 'FAC'), ('Jaguar', 'ORG'), ('over 100 km per hour', 'QUANTITY'), ('Motor Vehicles Act', 'LAW'), ('Mercedes', 'PRODUCT'), ('two', 'CARDINAL'), ('Kolkata', 'GPE'), ('about two weeks ago', 'DATE'), ('Saturday', 'DATE'), ('evening', 'TIME'), ('the SSKM Hospital', 'ORG'), ('Bangladeshi', 'NORP'), ('August 15 night', 'DATE'), ('Bharatiya Janata Party', 'ORG'), ('Roopa Ganguly', 'PERSON'), ('Golf Garden', 'LOC'), ('Kolkata', 'GPE'), ('night', 'TIME'), ('Mamata Banerjee', 'PERSON'), ('the past two years', 'DATE')]"
Couple among 4 picnickers killed in road accident,"Couple among 4 picnickers killed in road accident Four people, including a couple, were killed and four others injured in a collision between a bus and a private car on the Dhaka-Sylhet highway in Shibpur upazila of Narsingdi early Saturday. The deceased were identified as MBA students Akib Hossain, 27, Jannatul Ferdous and 25, Sadia Akhter, 24, at The Millennium University (TMU) in Dhaka and Sadia's husband Emran Hossain, 35. All of them were passengers of the private car.Itakhola highway police camp sergeant Jakrul Kabir said, a Sylhet-bound bus of 'Shyamoli Paribahan' collided head-on with a Dhaka-bound private car, carrying picnickers, in front of Kararchar Madina Jute Mills around 2am, leaving three people dead on the spot and five others injured.Critically injured five were taken to Narsingdi Zila Hospital where another one died.The four were shifted to Dhaka Medical College Hospital, Jakrul added.TF ","[('4', 'CARDINAL'), ('Four', 'CARDINAL'), ('four', 'CARDINAL'), ('Dhaka', 'GPE'), ('Shibpur', 'GPE'), ('Narsingdi', 'GPE'), ('early Saturday', 'TIME'), ('Akib Hossain', 'PERSON'), ('27', 'DATE'), ('Jannatul Ferdous', 'PERSON'), ('25', 'DATE'), ('Sadia Akhter', 'PERSON'), ('24', 'DATE'), ('The Millennium University', 'ORG'), ('TMU', 'ORG'), ('Dhaka', 'GPE'), ('Sadia', 'PERSON'), ('Emran Hossain', 'PERSON'), ('35', 'DATE'), ('Itakhola', 'GPE'), ('Jakrul Kabir', 'PERSON'), ('Sylhet', 'GPE'), ('Dhaka', 'GPE'), ('Kararchar Madina Jute Mills', 'FAC'), ('around 2am', 'TIME'), ('three', 'CARDINAL'), ('five', 'CARDINAL'), ('five', 'CARDINAL'), ('Narsingdi Zila Hospital', 'ORG'), ('one', 'CARDINAL'), ('four', 'CARDINAL'), ('Dhaka Medical College Hospital', 'ORG'), ('Jakrul', 'PERSON'), ('TF', 'ORG')]"
Five of a family killed in M’singh road accident,"		MYMENSINGH, Aug 16: Five members of a family were killed in a road accident on Mymensingh-Kishoreganj highway in Gouripur upazila on Friday morning.The accident occurred when a bus hit a Kishoreganj-bound private car from behind at Ramgopalpur in the upazila at around 11:00am, Kamrul Islam Mia, officer-in-charge (OC) of Gouripur Police station, said.The dead were identified as Rafik-uz-Zaman, 45, of Netrakona's Durgapur upazila; his wife Shahina Akhtar, 40; their son Nadim Hossain, 19; daughter Rounouk Jahan, 13, and Shahina's brother Ashrafuzzaman.They were going to Narsingdi via Kishoreganj, the OC said. Shahina died on the spot and four others sustained injuries, he addedThe injured were rushed to Mymensingh Medical College Hospital (MMCH) where Ashrafuzzaman Rafik and his two children succumbed to their injuries.Police seized the bus but its driver managed to flee, said Shaker Hossain Siddiquee, additional superintendent of police (Gouripur Circle). A case was filed with Gouripur Police station in connection with the accident.Our Tangail correspondent reported that two persons were killed in separate road accidents in Nagarpur and Bhuapur upazilas of the district on Friday.The deceased were identified as Quddus Mia, 70, of Panchpara village in Nagarpur upazila; and Abdul Mannan, 62, of Pingna village in Sarishabari upazila of Jamalpur. In Nagarpur, a CNG-run auto-rickshaw hit Quddus in Bekra Bazar area on Nagarpur-Salimabad Road at around 9:00am, leaving him critically injured.Locals rushed Quddus to Nagarpur Upazila Health Complex where the doctors declared him dead.In Bhuapur, a microbus rammed a CNG-run auto-rickshaw on he Bhuapur-Tarakandi Road in the afternoon, leaving its driver and three passengers critically injured.The Injured were taken to Bhuapur Upazila Health Complex where the doctors declared Mannan dead. ","[('MYMENSINGH', 'GPE'), ('Five', 'CARDINAL'), ('Mymensingh', 'GPE'), ('Gouripur', 'GPE'), ('Friday', 'DATE'), ('morning', 'TIME'), ('Kishoreganj', 'GPE'), ('Ramgopalpur', 'GPE'), ('around 11:00am, Kamrul Islam Mia,', 'TIME'), ('Gouripur', 'GPE'), ('Rafik-uz-Zaman', 'PERSON'), ('45', 'DATE'), ('Netrakona', 'GPE'), ('Durgapur', 'GPE'), ('Shahina Akhtar', 'PERSON'), ('40', 'DATE'), ('Nadim Hossain', 'PERSON'), ('19', 'DATE'), ('Rounouk Jahan', 'PERSON'), ('13', 'DATE'), ('Shahina', 'PERSON'), ('Ashrafuzzaman', 'PERSON'), ('Narsingdi', 'GPE'), ('Kishoreganj', 'GPE'), ('Shahina', 'PERSON'), ('four', 'CARDINAL'), ('Mymensingh Medical College Hospital', 'ORG'), ('MMCH', 'ORG'), ('Ashrafuzzaman Rafik', 'PERSON'), ('two', 'CARDINAL'), ('Shaker Hossain Siddiquee', 'PERSON'), ('Gouripur Circle', 'GPE'), ('Gouripur', 'GPE'), ('Tangail', 'GPE'), ('two', 'CARDINAL'), ('Nagarpur', 'GPE'), ('Bhuapur', 'GPE'), ('Friday', 'DATE'), ('Quddus Mia', 'PERSON'), ('70', 'DATE'), ('Panchpara', 'GPE'), ('Nagarpur', 'GPE'), ('Abdul Mannan', 'PERSON'), ('62', 'DATE'), ('Pingna', 'GPE'), ('Sarishabari', 'GPE'), ('Jamalpur', 'GPE'), ('Nagarpur', 'GPE'), ('Quddus', 'GPE'), ('Bekra Bazar', 'LOC'), ('Nagarpur-Salimabad Road', 'FAC'), ('around 9:00am,', 'TIME'), ('Quddus', 'PERSON'), ('Nagarpur Upazila Health Complex', 'FAC'), ('Bhuapur', 'GPE'), ('CNG', 'ORG'), ('Bhuapur-Tarakandi Road', 'FAC'), ('the afternoon', 'TIME'), ('three', 'CARDINAL'), ('Bhuapur Upazila Health Complex', 'FAC'), ('Mannan', 'PERSON')]"
2 Bangladeshis killed in Saudi road accident,"2 Bangladeshis killed in Saudi road accidentTwo Bangladeshi nationals were killed and five others injured in a road accident in Saudi Arabian capital of Riyadh on Thursday.The deceased were identified as Yasin Miah, hailed from Barura upazila of Cumilla, and Yasin Ali, from Gafargaon upazila of Mymensingh. Both worked as cleaners at a company. A vehicle, carrying them, collided with a lorry in Solai area around 4:00 pm Bangladesh time, leaving the duo dead on the spot and five others injured.Injured people are undergoing treatment at a local hospital. The bodies were taken Semusi Hospital morgue in Riyadh.MUS/LY ","[('2', 'CARDINAL'), ('Bangladeshis', 'NORP'), ('Saudi', 'NORP'), ('Bangladeshi', 'NORP'), ('five', 'CARDINAL'), ('Saudi Arabian', 'NORP'), ('Riyadh', 'GPE'), ('Thursday', 'DATE'), ('Yasin Miah', 'PERSON'), ('Barura', 'GPE'), ('Cumilla', 'GPE'), ('Yasin Ali', 'PERSON'), ('Gafargaon', 'GPE'), ('Mymensingh', 'GPE'), ('Solai', 'LOC'), ('around 4:00 pm', 'TIME'), ('Bangladesh', 'GPE'), ('five', 'CARDINAL'), ('Semusi Hospital', 'ORG'), ('Riyadh', 'GPE'), ('MUS/LY', 'PERSON')]"
"Teenage boy killed, 20 injured in road accident","Teenage boy killed, 20 injured in road accidentA boy was killed and 20 others were injured in a road accident in Kalukhali upazila of Rajbari early Friday.Son of Shafiul Islam, deceased Shamim Hossain, 14, hailed from Gangni upazila of Meherpur district. He was a tenth grader of Tetul Baria Islamia Secondary School.Rajbari Fire Service and Civil Defense Deputy Director Shawkat Ali Joarder said a Meherpur-bound bus plunged into a roadside ditch as its driver fell into sleep and lost control over the steering at Durgapur Bus Stand around 3:00 am, leaving Shamim dead on the spot and 20 others injured.Being informed, fire service and civil defense personnel rushed to the spot and rescued injured people.The injured were admitted to Pangsha Upazila Health Complex.MUS ","[('20', 'CARDINAL'), ('20', 'CARDINAL'), ('Kalukhali', 'GPE'), ('Rajbari', 'GPE'), ('early Friday', 'TIME'), ('Shafiul Islam', 'PERSON'), ('Shamim Hossain', 'PERSON'), ('14', 'DATE'), ('Gangni', 'GPE'), ('Meherpur', 'GPE'), ('tenth', 'ORDINAL'), ('Tetul Baria Islamia Secondary School', 'ORG'), ('Rajbari', 'GPE'), ('Fire Service', 'ORG'), ('Shawkat Ali Joarder', 'PERSON'), ('Meherpur', 'GPE'), ('Durgapur Bus Stand', 'FAC'), ('around 3:00 am', 'TIME'), ('Shamim', 'PERSON'), ('20', 'CARDINAL'), ('Pangsha Upazila Health Complex', 'FAC'), ('MUS', 'GPE')]"
Man killed in road accident,"Man killed in road accidentA man was killed and five others were injured in a road accident in Sonaimuri upazila of Noakhali on Thursday night.The deceased was identified as Nazrul Islam, 65, a resident of Barkot village in the upazila.Locals said a bus of 'Janani Service' rammed into a CNG-run auto rickshaw in front of Kashem Master Bridge on the Sonaimuri-Chatkhil road around 8:00 pm, leaving its six passengers critically injured.Sonaimuri Police Station OC Abdus Samad said the injured were admitted to Noakhali General Hospital, adding that Nazrul died on way to hospital.MUS ","[('five', 'CARDINAL'), ('Sonaimuri', 'GPE'), ('Noakhali', 'GPE'), ('Thursday night', 'TIME'), ('Nazrul Islam', 'PERSON'), ('65', 'DATE'), ('Barkot', 'GPE'), (""'Janani Service'"", 'ORG'), ('CNG', 'ORG'), ('Kashem Master Bridge', 'FAC'), ('Sonaimuri', 'GPE'), ('around 8:00 pm', 'TIME'), ('six', 'CARDINAL'), ('Sonaimuri', 'GPE'), ('Abdus Samad', 'PERSON'), ('Noakhali General Hospital', 'FAC'), ('Nazrul', 'PERSON'), ('MUS', 'GPE')]"
Minor girl killed in road accident,"Minor girl killed in road accidentA minor girl was killed in a road accident in Gafargaon upazila of Mymensingh on Wednesday evening.Daughter of Arman Mia, deceased Rimi Akhter, 4, was a resident of Bamonkhali village under Tangab Union in the upazila.Pagla Police Station officer in-charge Md Shahinuzzaman Khan said, a CNG-run auto-rickshaw ran over Rimi around 6pm while she was walking beside the road, leaving her critically injured.She was rushed to Upazila Health Complex where the on-duty doctor declared her dead. MA/TF ","[('Gafargaon', 'GPE'), ('Mymensingh', 'GPE'), ('Wednesday', 'DATE'), ('Arman Mia', 'PERSON'), ('Rimi Akhter', 'PERSON'), ('4', 'DATE'), ('Bamonkhali village', 'GPE'), ('Tangab Union', 'GPE'), ('Pagla Police Station', 'ORG'), ('Md Shahinuzzaman Khan', 'PERSON'), ('CNG', 'ORG'), ('Rimi', 'PERSON'), ('around 6pm', 'TIME'), ('Upazila Health Complex', 'FAC')]"
Feni road accident kills 8 picnickers,"Feni road accident kills 8 picnickersEight picnickers were killed and 20 others injured in a tragic road accident in Sadar upazila of Feni on Thursday morning.Three of the deceased were identified as Shahadat, 30, hailed from Feni, Sujan from Dhaka, and Azhar 45. A Cox's Bazar-bound bus from Dhaka, carrying picnickers, hit hard a roadside tree in front of Tibbatia College at Lemua around 5:45am after its driver lost control over the steering, leaving six dead on the scene and 21 others injured, said Feni Highway Police Station SI Kawsar Rahman.The injured were admitted to Feni Sadar Hospital where another one died. Among the wounded, seven were shifted to Dhaka for better treatmment, the SI said, adding Azhar died on way to Dhaka.TF/LY ","[('Feni', 'GPE'), ('8', 'CARDINAL'), ('20', 'CARDINAL'), ('Sadar', 'GPE'), ('Feni', 'GPE'), ('Thursday', 'DATE'), ('morning', 'TIME'), ('Three', 'CARDINAL'), ('Shahadat', 'PERSON'), ('30', 'DATE'), ('Feni', 'GPE'), ('Sujan', 'PERSON'), ('Dhaka', 'GPE'), ('Azhar', 'PERSON'), ('45', 'DATE'), ('Cox', 'GPE'), ('Dhaka', 'GPE'), ('Tibbatia College', 'ORG'), ('Lemua', 'GPE'), ('around 5:45am after its', 'TIME'), ('six', 'CARDINAL'), ('21', 'CARDINAL'), ('Feni Highway Police Station', 'ORG'), ('Kawsar Rahman', 'PERSON'), ('Feni Sadar Hospital', 'ORG'), ('one', 'CARDINAL'), ('seven', 'CARDINAL'), ('Dhaka', 'GPE'), ('Azhar', 'PERSON'), ('Dhaka', 'GPE')]"
Man killed in road accident,"Man killed in road accidentA man was killed in a road accident in Sadar upazila of Gopalganj district on Tuesday night.Deceased Md Younus Mollah, 65, was a resident of Bolakoir village in Sadar upazila.A motorcycle hit Younus in Bolakoir area on the Kathi-Boultali road around 11:00 pm, leaving him critically injured. Locals rescued Younus and took him Gopalganj 250-bed Hospital where he died while undergoing treatment.MUS/GY                                                                                    ","[('Tuesday night', 'TIME'), ('Md Younus Mollah', 'PERSON'), ('65', 'DATE'), ('Bolakoir', 'GPE'), ('Sadar', 'GPE'), ('Younus', 'PERSON'), ('Bolakoir', 'GPE'), ('Kathi-Boultali', 'FAC'), ('around 11:00 pm', 'TIME'), ('Younus', 'PERSON'), ('Gopalganj 250-bed Hospital', 'FAC')]"
2 cattle traders killed in road accident,"2 cattle traders killed in road accidentTwo cattle traders were killed and seven others injured after a cattle-laden truck fell into a roadside ditch in Geor upazila of Manikganj on Monday morning.The deceased were identified as Monwar Hossain, 26, and Ujjal Ali 38, hailed from Ujanpara village in Sadar upazila of Kushtia.A cattle-laden truck fell into a roadside ditch as its driver lost control over the steering in Pukhuria area on the Dhaka-Aricha highway around 6:00 am, leaving the duo dead on the spot and seven others injured, said Yamin-ud-Doula, inspector of Borongail Highway Police Outpost. The injured people were rushed to Manikganj Sadar Hospital, he added. MUS/GY  ","[('2', 'CARDINAL'), ('seven', 'CARDINAL'), ('Geor', 'GPE'), ('Manikganj', 'GPE'), ('Monday', 'DATE'), ('morning', 'TIME'), ('Monwar Hossain', 'PERSON'), ('26', 'DATE'), ('Ujjal Ali', 'PERSON'), ('38', 'DATE'), ('Ujanpara', 'GPE'), ('Sadar', 'GPE'), ('Kushtia', 'GPE'), ('Pukhuria', 'GPE'), ('Dhaka', 'GPE'), ('around 6:00 am', 'TIME'), ('seven', 'CARDINAL'), ('Yamin-ud-Doula', 'PERSON'), ('Borongail Highway Police Outpost', 'ORG'), ('Manikganj Sadar Hospital', 'ORG')]"
"Journalist, wife killed in road accident ","Journalist, wife killed in road accident A journalist and his wife were killed after a bus rammed into a battery-run van in Raiganj upazila of Sirajganj district early Sunday.The deceased were identified as Rafiqul Islam, 50, an upazila correspondent of The Daily Sangram and district correspondent of local newspaper The Daily Satmatha. He and his wife Morsheda Khatun, 45, were residents of Purbo Laxmikola Bazar area in the upazila.A bus of 'Sky Line Paribahan' hit a battery-run van in Kamaler Chalk area on the Raiganj-Chandaikona road, leaving its passenger Morsheda dead on the spot and two others among Rafiqul critically injured, said Panchananda Sarkar, officer in-charge of Raiganj Police Station. Injured Rafiqul were taken to Shaheed Ziaur Rahman Medical College Hospital (SZMC) where he died while undergoing treatment.Police seized the bus and detained its driver and his assistant, the OC added. MUS/SU  ","[('Raiganj', 'GPE'), ('Sirajganj', 'GPE'), ('early Sunday', 'TIME'), ('Rafiqul Islam', 'PERSON'), ('50', 'DATE'), ('The Daily Sangram', 'ORG'), ('The Daily Satmatha', 'ORG'), ('Morsheda Khatun', 'PERSON'), ('45', 'DATE'), ('Purbo Laxmikola Bazar', 'LOC'), ('Kamaler Chalk', 'LOC'), ('Raiganj', 'GPE'), ('Morsheda', 'PERSON'), ('two', 'CARDINAL'), ('Rafiqul', 'PERSON'), ('Panchananda Sarkar', 'PERSON'), ('Raiganj Police Station', 'FAC'), ('Rafiqul', 'PERSON'), ('Shaheed Ziaur Rahman Medical College Hospital', 'ORG'), ('SZMC', 'ORG'), ('MUS/SU  ', 'PERSON')]"
2 motorcyclists killed in road accident,"2 motorcyclists killed in road accidentTwo motorcyclists were killed as a bus hit a motorcycle on the Dhaka-Rajshahi highway of Sirajganj district on Wednesday night.The deceased were identified as Tanvir Hossain, 20, son of Abu Taleb, a resident of Telijana village and Azim Uddin, 18, a resident of Kalipur village, in Raiganj upazila.Hatikumrul highway police station officer in-charge Md Aktaruzzaman said a bus rammed into a motorcycle on which Tanvir along with Azim was riding toward Bangabandhu Bridge in Panchila area around 9:00 pm, leaving the duo dead on the spot.Later, police brought the bodies at the police station and then handed over to the deceased's family members, the OC added. MUS                                                                                 ","[('2', 'CARDINAL'), ('Dhaka', 'GPE'), ('Sirajganj', 'GPE'), ('Wednesday night', 'TIME'), ('Tanvir Hossain', 'PERSON'), ('20', 'DATE'), ('Abu Taleb', 'PERSON'), ('Telijana', 'GPE'), ('Azim Uddin', 'PERSON'), ('18', 'DATE'), ('Kalipur', 'GPE'), ('Raiganj', 'GPE'), ('Hatikumrul', 'GPE'), ('Md Aktaruzzaman', 'PERSON'), ('Tanvir', 'PERSON'), ('Azim', 'PERSON'), ('Bangabandhu Bridge', 'FAC'), ('Panchila', 'GPE'), ('around 9:00 pm', 'TIME')]"
