,title,news
119,"Six killed, 10 injured in Tangail road accident","Of the deceased, two were identified as Julhas Ali, 50, son of Somotullah from Charbadhai village under Gopalpur upazila of Tangail district and Aleq, 45, Dupchachia area of Bogura district. The accident took place around 5.30 am when a cement-laden truck was going towards northern region from Dhaka and hit a road divider of Kandila area and turned over as its driver lost control over steering ,leaving five people dead on spot and injured others, said Elenga highway police outpost in-charge Kamal Hossain.The injured were rushed to Tangail General Hospital where one of the injured succumbed to his injuries, he added. He also said all the victims were returning home amid the risk of coronavirus outbreak.The injured are : Nurunnabi,28, son of Hafizur Rahman from Sundarganj area of Gaibandha district,Liton,32, son of late Hossain Ahmed of Mithapukur area under Rangpur district, Abu Bakar Siddique,45,Pankata village under Dhanbari upazila of Tangail district, Tahmina of Bogura district, Shipon,30,son of Oziar Rahman of Turabganj area of Rangpur district, Anwarul Huq,50,son of Moqbul Hossain of Pirganj and Habib,30, hailing from Sundarganj area of Gaibandha district."
120,Child killed in Ctg road accident,"The victim was identified as Titi Das, daughter of Krishno Das, hailed from Jelepara of Kumira Ghatghar area under Sitakund upazila of the district.Police said the iron rod carrying truck crushed her when she was crossing the road at Boro Kumira area at 9 am. Locals seized the truck (Chatta Metro Ta-11-7666) and detained truck driver Nizam, and handed over to the police.Shamim Sheikh, officer-in-charge (investigation) of Sitakunda thana confirmed the incident and said that police went there after receiving information about the incident."
121,Woman killed in road accident,"According to police, Alimon was carried to Birganj Upazila Health Complex (UHC) by a van. On the way to UHC, a minibus from Rangpur hit their van and killed the old woman on the spot and left three other injured. The injured are: Alimon's daughter-in-law, Jaheda Begum, 35, van driver, Lakshmi, 40 and other name couldn't be known yet.Meanwhile, Officer-in-Charge (OC) of Birganj Police Station Abdul Matin Pradhan deployed police force on the spot and under control the situation."
122,BGB member killed in road accident,"A members Border Guard Bangladesh (BGB) was killed and four others were injured while a truck carrying them turnover on Bandarban-Keranihaat road under Koshaipara area in Bandarban on Wednesday morning.The deceased was identified as Al-amin, 34, a soldier of 45 Battalion of BGB Borokol. The injured are: Lance naik of Rajnagar BGB 37 Battalion Saiful Islam, soldier of BGB 12 Battalion Md Asadujjaman and Jamirul Islam, soldier of Rangamati Sector Md Ekhlas.The injured were taken to Baitul Ijjat BGB Hospital under Satkania of Chattogram. Al-amin died after he was brought to the hospital. Officer-in-Charge (OC) of Sadar Police Station Shahidul Islam confirmed the matter."
123,Two killed in Bhola road accident,"The deceased were identified as pedestrian Md Joynal, 75, hailed from Elisha Union and assistant of the trolley Md Ohid, 55, resident in the area of the upazila.Officer-in-Charge of Bhola Sadar Upazila Md Enayet Hossain said the accident occurred in Jangalia area. The bodies were sent to Bhola Sadar Hospital, he added. Police seized the trolley."
124,Two killed in Cumilla road accident,"Two people were killed as a pickup van hit a CNG-run auto rickshaw at Chauddagram upazila of Cumilla district on Tuesday morning. The deceased were identified as CNG driver Pear Ahmed, 38, hailed from Kalikapur village and M Bagar, 45, an inhabitant of Ludiara village in the upazila.Police said the accident occurred at around 9 am in Nankora area on the Dhaka-Chattogram Highway when the pickup van hit the auto rickshaw, leaving its passenger and driver injured critically. The injured were sent to Chauddagram Upazila Health Complex where the duty doctor declared them dead, police said."
125,Two vegetable vendors killed in Jhenaidah road accident,"Shailkupa police station duty officer when contacted said both Hasmat Ali and Mina Hossain were travelling on the vegetable laden nosimon. They were marching towards Jhenaidah town from Abdalpur. When their three wheeler arrived near Dangipra, about six kilometers from Shailkupa upazila headquarters on Jhenaidah-Kushtia highway, the vehicle lost control over the steering and overturned pushing to a road side tree. The duo succumbs to their injuries on the spot. Police sent the bodies to Jhenidah Sadar hospital morgue for post mortem examination. They (police) were processing to file a case in this connection, duty officer said."
126,2 killed in Jashore road accident,"Jashore Kotwali Model thana Officer-in-Charge (OC) Md. Moniruzzaman said, Motorcycle riders Sumon and Sabuj were going to their home riding a Motorcycle after taking tea in a tea stall at Shaheed Sirajuddin Hossain College area on Monday night at 8:30. When they reached  Rajapur-Danga Boyra area on Khajura College-Rajapur road, the motorcycle hit a roadside date tree lost its control, two riders died on the spot. On information, police recovered the bodies and sent to Jashore 250 bed general hospital morgue.    A case was filed in Jashore Kotwali Model thana in this connection."
127,4 killed in Sirajganj road accident,"The deceased were identified as madrashah teacher Abdul Khaled Mahmud, 30, and madrashah students – Imran Hossain,15, Yasin Arafat ,18 and Elias Hossain,17. They were from Tejgaon Begunbari Madrasah, Dhaka. Officer-in-charge (OC) of Bangabandhu Bridge (west) Police Station Sayed Shaheed Alam said the accident occurred this morning when a truck collided head-on with a bus at Kashem Mor of Dhaka-Sirajganj Highway, leaving two students dead on the spot. The bus carrying some madrashah students and teachers was returning to Dhaka from a religious gathering in Naogaon, said the OC.The injured were taken to Bongamata Sheikh Fazilatunnesa Mujib 250-Bed General Hospital in Sirajganj, where doctors declared another person dead. One more critically injured student died on the way to Dhaka for treatment. Meanwhile, police seized the truck but its driver managed to flee the scene."
128,5 killed in Bagerhat road accident,"Officer-in-charge of Fakirhat Police Station Khairul Anam said the truck was going towards Khulna from Dhaka. A Dhaka-bound passenger bus of Rajiv Paribahan collided with the truck in the Kakadanga area. Five people were killed on the spot. All five of them were passengers of the bus. Three of them were women. The injured were admitted to different hospitals in the area, he added. Khairul Anam also said the bus was lying on the road after the accident. At this time, a long traffic jam was created on both sides of the road. The accident took place at around 5:30 pm. None of the deceased has been identified yet."
129,Two motorcyclists killed in Sirajganj road accident,"The deceased were identified as Miraj Uddin, 22, son of Md Kamruzzaman of Gulahar village under Chirirbandar Upazila of Dinajpur district and his cousin Hasinur Rahman. Miraj was a student of Sirajganj Marine Technology Institute. The accident occurred when a night coach crushed their motorcycle in Konabari Mofizmore area, leaving the duo dead on the spot, Syed Shahid Alam, Officer-in-Charge (OC) of Bangabandhu Bridge West Bridge Police Station said.The victims riding on the motorbike were going to their village home from Sirajganj to attend a bridal party, he said. The bodies were kept at Bangamata Sheikh Fazilatunnesa Mujib General Hospital here for autopsies. A case was filled in this connection."
130,Schoolboy killed in road accident,"It is reported that Milon goes to Bahadia his aunt house by the tractor at that time a speedy bus left from Kishoreganj on the back of the tractor collided with a tractor when it overtook the tractor. Driver Rakib and school student Milon were critically injured in the collision.Later, locals rescued them and took them to the Pakundia Upazila Health Complex. The duty doctor declared the school student Milon was no more. Pakundia Police Station Officer-in-Charge Md. Mafizur Rahman confirmed this. Dead body sent to Kishoreganj 250 Bed General Hospital for autospy."
131,Road accident claims 9 lives in 4 dists,"In Tangail, at least six passengers of a CNG-run auto-rickshaw were killed in a road accident at Hossain market Bottola area in Mirzapur upazila in the district in the monirng.The deceased were identified as Hridoy , 18, of Beltoil village, Sonam Uddin, 60, Mashraful, 8, Jakir Hossain, 40, Hafiz Uddin, 60, and his daughter Renu Akter, 25, of Kuratoly village in the upazila.Sub-inspector Rafikul Islam, in-charge of Dewhata Police out-post, said that when a Sakhipur-bound CNG-run auto-rickshaw overturned on the road after being hit by a Goran-bound private car a sand-laden truck rammed it,  killing three of its passengers dead on the spot. Police seized the private car and the truck but their driversmanaged to flee, said the SI.In Chuadanga, a sub-inspector of police of Damurhuda police station was crushed under wheels of a truck near Odut Shah Degree College on Jibannagar-Chuadanga road in Damurhuda upazila in district, reports our Chuadanga CorrespondentThe deceased was identified as Milton Sarker Opu, sub-inspector of Damurhuda police station and son of Subas Chandra Sarker of village Ranapasha in Nolcity thana of Jhalokathi.According to police, the SI went out to perform his duty by motorcycle. When he appeared at the incident place a Chuadanga bound truck collided head on the motor cycle leaving him dead. On information police rushed to the spot and recovered the body.In Noakhali, college student Naeem, 18, son of M Manik of Iarpur village in Senbag upazila, died on the spot as a BRTC bus hit his motorbike near Choudhury Filling station in Tin Pukuria area of the upazila at about 9am, said Abdul Baten, Officer-in-Charge of Senbag police Station. Police seized the bus but its driver managed to flee from the spot, he saidIn Cumilla, a man was killed when a speeding lorry hit him on the Dhaka- Chattogram Highway of Chandina upazila this morning. The deceased was identified as M Barek Sarker, a resident of Borokamta Sarker Bari of the upazila. Officer-in-Charge of Chandina police Station M Abul Foysal said the accident took place in the area at about 8 am when Barek was crossing the road. He died on the spot."
132,Former UP member killed in Naogaon road accident,"UP member was seriously injured, He was sent to Rajshahi Medical College and Hospital. Motaleb died on the way to the Hospital."
133,School girl killed in Bogura road accident,Police said the accident took place at around 9:30 am at Pitahar on Kundogram-Matpukuria Road.  when the girl was on her way to school. Pakhi died on way to Adamdighi Upazila Health Complex. Officer-in-Charge of Adamdighi Thana Jalal Uddin confirmed the incident.
134,Concern over alarming rise in road accident ,"Members of Nirapad Sarak Chai (We want Safe Road), Rajshahi district unit in a statement have expressed their deep concern at the alarming increase of road accidents in various places of the country during the recent days.  The NSC members at a press release have also pleaded to all to create mass consciousness to check road accidents and called upon the drivers, pedestrians and the passengers to become aware to avoid road accidents. The NSC members further mentioned that taking the weakness in implementation of the New Road Transport Act, 2018, the number of road accidents were increasing further. They also demanded to the concerned authorities including the Monitoring Group of the Traffic Police to take immediate measure to check  road accidents. The statement was signed, among other, by  NSC President, Vice-President and the General Secretary Advocate Toufique Ahsan Titu, Sultan Mahmud Sumon, Waliur Rahman Babu respectively, Mamunur Rashid, Masuduzzaman Kajol, Bazlur Rashid Liton, Dr. Amanullah Bin Akhter Abid, Sultan Uddin Ahmed Rashu, Dewan Ekramul Haque Bachchu, AKM Zahedul Islam, Engineer Zunayed Ahmed, Advocate Shahin Kabir,  Saban Ali Dilip, Abdul Wahab, AFM khairul Islam, Sirajul Islam, Asad Hossain, Principal Sirajul Islam, Nuruzzaman, Ruhul Hasan Palash, Rakibul Islam Rocky, Tanjim Morshed tamal, Zukher dudayed and Alamgir Kabir Sabuj. Meanwhile, in a separate statement, the Members of NSC, Rajshahi congratulated Dr. Amanullah Bin Akhter Abid, Organising Secretary of NSC for his being awarded as the Best Organiser of 2020 by Barendra Yuba Sommelon in Rajshahi."
135,2 killed in Jashore road accident,"The deceased were identified as furniture trader Mohammad Hasan, 36, son of Atier Rahman of Daulotdihi village in sadar upazila, and NGO worker Tania Khatun, 32, of Dhalgram area at Bagherpara upazila of Jashore district.Officer-in-Charge (OC) of Jashore Kotwali Model  Police Station Md Moniruzzaman confirmed the matter. The two people were a CNG-run auto rickshaw passengers. The accident took place at about 9:00 am when a truck hit the auto rickshaw, injuring five people. Later, they were taken to 250-Bed Jashore General Hospital where two of them died. The excited crowd seized the killer truck. Later, it was handed over to police. Police said that a case was filed in this connection."
136,3 killed in Cumilla road accident,"The deceased were identified as Ramjan, Shafiqul and Shahin.Daudkandi Highway Police Station sources said the accident occurred in the area around 7am when the Dhaka-bound Khadiza VIP Paribahan passenger bus fell into a roadside ditch after its driver lost control, leaving three dead."
137,4 killed in Pabna road accidents,"The accident took place at about 5:30 am when the Hajirhat-bound truck hit the  covered van, leaving Abdul Hamid dead on the spot and four others injured. The injured were taken to Pabna General Hospital where the doctors declared Babu deadMeanwhile, two other people were killed after a bus rammed into a motorcycle on Pabna-Rajshahi highway at Ishwardi upazila of Pabna on Thursday night.The deceased were identified as Bachhu Mondol, 40, and Bulbul Sheikh, 35, of Goalbathan village at the upazila. Bahauddin Faruki, OC of Ishwardi Police Station, said the bus hit the motorcycle coming from opposite direction at Muladuli point of the highway at about 7:30pm, leaving the motorcyclist and his passenger dead on the spot.   Police seized the bus, but its driver and helper managed to flee the scene."
138,5 killed in Lakshmipur  road accident,"The accident took place when the pajero collided with the auto rickshaw at the area around 7:00 pm, leaving trio dead on the spot and later two others died, said Jasim Uddin, officer-in-charge of Chandraganj police station. On information, police recovered the bodies and sent to Noakhali General Hospital for autopsy while the injured were admitted to the hospital. Later, doctors referred some injured persons to Dhaka for better treatment."
139,"Mother, daughter killed in Gazipur road accident","Anwar Mia, ASI of Konabari highway police station, confirmed the matter. The accident took place on Dhaka-Tangail Highway when a bus of Ajmeri Paribahan fell into a roadside ditch after driver of the bus lost control over driving. At that time, the mother and the child daughter died on the spot and five others were injured. Police seized the bus but its driver managed to flee the scene, said the ASI.  The bodies were sent to Shaheed Tazuddin Ahmad Medical College Hospital morgue and a case was filed in this connection."
140,2 killed in Kushtia road accident,"The deceased were identified as Shukur Ali, 36, and Alamin, 19, residents of Moslempur village. Shahjalal, officer-in-charge (OC) of Bheramara Police Station, said that the accident took place at about 8:30am as a truck hit their vehicle, leaving the duo dead on the spot and two others injured."
141,Handball player Sohan died in a road accident,"Two people were killed today in a road accident involving a motorcycle and a battery-run three-wheeler at Daulatpur upazila of Kushtia. The deceased were Sohanur Rahman (21), goalkeeper of Bangladesh National Handball Team, and his cousin Hridoy Khan -- both hailing from Char Mahirbadi village in Philipnagar union under the upazila, reports our Kushtia correspondent quoting police.The incident happened around 9:00am at Hossenabad Centre Intersection in Daulatpur. Sohan and Hridoy, on a motorbike, were going to a local market when the unlicensed three-wheeler (locally called Nasiman) from the opposite direction hit them, leaving them critically injured, said SM Arifuzzaman, officer-in-charge of Daulatpur Police Station.Police later sent the bodies of the deceased to morgue for autopsy, the OC said, adding that no case was filed in this connection yet.The driver of the three-wheeler fled from the scene after the accident, he added.The incident took place at Hosenabad area of Daulatpur upazila in the district on Friday."
142,Two killed in Jashore road accidents,"Two persons, including a bus driver, were killed in separate road accidents at Baghachra-Harikhali area in Sharsha upazila and Semakhali bridge area in Bagherpara upazila of Jashore on Wednesday morning and Tuesday night.The deceased were identified as bus driver Dabir Uddin, 30, resident of Pulerhat area in Jashore sadar upazila and Mosarraf Hossain, 48, resident of Echadah area of Magura  sadar upazila.Sharsha thana officer-in-charge (OC) Md. Ataur Rahman said, a Natore bound picnic bus from Kalaroa upazila in Satkhira district which was carrying teachers and students of BDRNS High School head on collided another bus from Jashore at Baghachra-Harikhali area at 8:00 am,driver of Natore bound picnic bus Dabir Uddin dead on the spot.At least 20 others injured at the time.Injured persons were admitted in local hospital and clinics.Another accident took place at Semakhali bridge area on Jashore-Magura road in Bagherpara upazila on Tuesday at 11:30 pm.Police sources said, a Jashore bound Motorcycle from Magura hit a truck which was placed in road side at Semakhali bridge area,Motorcycle riders Mosarraf Hossain and his wife senior Nurse Shanaj Parvin were seriously injured.Locals rescued them and taken to Jashore 250-bed general hospital where on duty doctor declared Mosarraf dead.Injured Shanaj Parvin was admitted in the hospital. Seperate cases were filed in Sharsha and Bagherpara thanas in this connections.#"
143,Two students killed in Sunamganj road accident,"The accident took place as their motorcycle crashed into a roadside electric pole at Maizbari in the district town. Shahidur Rahman, officer-in-charge of Sadar Police Station, said the four friends were riding a motorcycle in the district town and at one stage, it hit the electric pole in front of Brahmangaon High School around 4:45pm.The accident left Pavel dead on the spot while Shohagh was pronounced dead at the Sadar Hospital. Shakinur and Ashique were sent to Sylhet MAG Osmani Medical College Hospital as they were in a critical condition, the OC added.The bodies were handed over to the families, while the injured are still admitted in the hospital, the official confirmed."
144,Driver killed in Chuadanga road accident ,"According to Chuadanga police station, when the driver arrived at the incident place, the driver lost the control of the vehicle leaving him dead. On information police rushed to the spot, recovered the body and sent it to sadar hospital morgue for postmortem. A case was filed with Chuadanga police station."
145,"Mother, daughter killed in Gaibandha road accident",A mother and her daughter were killed in a road accident at Gobindaganj upazila of Gaibandha on Tuesday night.The deceased were identified as Rahela Begum and her daughter Shefali Begum of Rampura village in Palashbari upazila in the district.Eyewitnesses said that the accident took place on Rangpur-Bogura Highway at about 11:30pm when a Chattogram-bound Hanif Paribahan bus collided with a bamboo-laden truck.Rahela and Shefali were critically injured during the road accident. Locals rescued them and sent them to the hospital. Rahela succumbed to her injuries when they were being taken to the hospital. On the other hand. Shefali died on Wednesday morning. Sub-Inspector Shahin of Gobindaganj Police Station confirmed the matter. He said that the bodies were sent to the hospital for post-mortem. 
146,2 killed in Rajshahi road accident ,"Two passengers of a pick-up van died when it rammed over a standing truck from behind on Rajshahi-Chapainawabganj highway at Rajabarihat area under Godagari upazila around 8:00 am on Wednesday morning.One of the deceased was identified as Jahidul Islam, 22, son of Jalal Hossain of Luter Char village under Savar upazila of Dhaka. Abdul Bari, Inspector of Premtali Police outpost informed, by parking beside the road, the truck drivers and passengers were taking breakfast at Rajabarihat when a Chapainawabganj bound pick-up carrying Thai-glass rammed over the truck from behind with a high speed.Two passengers of the pick up were killed on the spot and the driver was fatally injured.The front part of the vehicle was also badly damaged. Local people rescued the injured pick-up driver and admitted him to local hospital. Fire brigade  personnel rushed to the spot and recovered dead bodies of two passengers from inside the pick-up and sent those to the morgue of RMCH for autopsy."
147,College student killed in Jashore road accident,"A college student was killed and two others were injured in a road accident at Churamonkathi Petrol Pump area in Jashore Sadar uazila on Monday night. The deceased was identified as Jihad Hossain, 17, a student of Kazi Nazrul Islam Degree College and son of Faruk Hossain, resident of Hoibatpur village of the upazila.Police said the accident took place in the area at about 9 pm when a speedy motorbike hit a standing truck, leaving its three riders injured. The injured were sent to Jashore General Hospital where Jihad succumbed to his injuries. A case was filed in this regard with Kotwali Model Thana."
148,5 killed in Cox’s Bazar road accidents,"At least five people were killed in two separate road accidents at Chakaria and Ukhiya upazilas of Cox’s Bazar on Friday night.At Chakaria, four people, including a woman, were killed and twenty others were injured when a bus overturned and fell into a roadside ditch on Chattogram-Cox’s Bazar Highway near Baniarchhara area around 11:00 pm. In-charge of Harbang Highway Police Outpost Md Anisur Rahman confirmed the matter. One of the deceased was identified as Jhorna Begum, 35, wife of Mohammad Ali hailed from Sonadia area under Hatia upazila of Noakhali. Anisur Rahman said, ""The driver of Star Line Paribahan lost control of the steering, thus the bus plunged at a roadside ditch and overturned, killing four of its passengers - three men and a woman - on the spot. Around 20 people were injured.""After being informed of the accident, law enforcement teams from Chakaria Police Station, Chiringa Highway Police, Harbang Police Outpost, and Chittagong Fire Service went to the spot and recovered the bodies, he added.Traffic movement on the highway was halted due to the accident. However, traffic became normal after the mangled body of the bus was removed from the site by a crane, he added. At Ukhiya, a woman was killed and five others were injured in a road accident in front of Ratnapalong Union Parishad office around 6:30pm. The accident took place when a Bhalukiya-bound autorickshaw collided with an easy-bike coming from the opposite direction, leaving the woman dead on the spot.The deceased was identified as Usha Barua, 38, wife of Amulyo Barua of Bhalukiya. The injured were rushed to local hospital for treatment. Their identities could not be known immediately."
149,Two killed in C’nawabganj road accident,"Police said the accident took place as a speedy truck crashed a battery-run auto-van in the area, leaving Jahanara dead on the spot and wounding Arshad seriously. Arshad was admitted to Gomostapur Upazila Health Complex where he succumbed to his injuries at night. The truck driver escaped the scene with the vehicle soon after the accident, police added."
150,Woman killed in road accident,"Saiful Islam, OC of Jibannagar police station said Firoja Begum was crossing the road of Jibannagar-Chuadanga at the village. A motor cyclist hit the woman leaving her dead. On information, police rushed to the spot, recovered the body and sent it to Chuadanga Hospital Morgue for postmortem."
151,2 killed in Jashore road accidents,"OC of Jashore Ketawali Police Station Sheikh Tasmim Alam said first accident took place in Natunhat as a pickup collided with another loaded  pickup with vegetables. Driver Sahabur Mia died on the spot.On the other hand, another accident took place in Bahadurpur road in sador Upazila around 7:00 am. A bicycle rider Mohiuddin died after being hit by a pickup.  Two cases were filed with Jashore Kotwali police station."
152,Road accident claims 8 lives in 4 districts,"At least eight people were killed in road accidents in Chattogram, Feni, Moulvibazar and Habiganj districts on Tuesday. In Chattogram, two people were killed and 15 others were injured as a bus plunged into a road side ditch on Chattogram-Kaptai road at Pahartoli under Rangunia upazila in the district. The deceased were identified as Jahanara, 55, and Imam Hossian, 44.The accident took place at about 10:45 am when the Rangunia-bound bus skidded off the road and fell into the road side ditch, leaving the duo dead on the spot and 15 others injured, said Kefayet Ullah, officer-in-charge of Rangunia Police Station. In Feni, two persons were killed and another was injured in two separate road accidents in the district. The deceased were identified as Tofura Akhter, 48, an office assistant at Parshuram UNO office, and Belal Hossain, 23, of Chhagalnaiya upazila of the district.Belal died as a bus hit his CNG run auto rickshaw around 8:00 am at Fulgazir Bandua on Feni-Parshuram road. He was brought to Feni General Hospital where the duty doctor declared him dead. Besides, Tofura died falling from a motorcycle at Munshir Hat area. She was also admitted to the hospital where the duty doctor declared her dead. Officer-in-Charge of Fulgazi Thana Md Kutubuddin confirmed the death.In Moulvibazar, two people were killed and four others were injured in a collision between a pick-up van and an auto-rickshaw at Baurbhag in Sadar upazila. The deceased were identified as Muzahidur Rahman, 34, son of AbdurRahman and Al Amin, 25, son of Harun Mia of the upazila . The accident took place about 7:30 am when the Sherpur-bound pick-up van collided with the auto-rickshaw, coming from the opposite direction, leaving two people dead on the spot and four others injured, said assistant sub-inspector Ibrahim.The injured were taken to a local hospital. In Habiganj, two people were killed when an unknown vehicle hit an auto-rickshaw on Dhaka-Sylhet highway at Doulatpur in Bahubal upazila in the early morning. The deceased were identified as Abdur Rakib, 35 and Akter Mia, 45 of the upazila. Kamruzzaman, Officer-in-Charge of Bahubal Police Station, said the unknown vehicle hit the auto-rickshaw around 3:30 am while heading towards a CNG filling station, leaving the auto-rickshaw driver and another dead on the spot."
153,Three killed in Habiganj road accident,"Locals said the accident occurred when a passengers bus plunged into a roadside ditch around 8:30 am in the area as its driver lost control over the steering, leaving three dead on the spot and injuring others. Officer-in-Charge (OC) of Bahubal Model Thana Md kamruzzaman confirmed the incident and said the wounded were admitted to various hospitals in the district."
154,Two killed in Tangail road accidents,"Two people have been killed and 15 others were injured in separate road accidents on Dhaka-Tangail-Bangabandhu Bridge near Kamakhyamor area under Kalihati upazila and Bangabandhu Bridge Toll Plaza area in Tangail on Wednesday.One of the deceased was identified as Emon Hossain, son of Shahadat Hossain, hailed from Kukadair village under Bhuiyanpur upazila of the district. Officer-in-Charge of Bangabandhu Bridge East Station Kazi Ayubur Rahman said because of the dense fog two trucks and a bus collided at Kamakhyamor area. Consecuently, helper of a truck named Emon died on the spot and fifteen others were injured. The injured were taken to Tangail General Hospital. On the other hand, a north-bengal bound bus collided with a private car while overtaking at Bangabandhu Bridge Toll Plaza east side area. A person was died on the spot, he added."
155,"3 women of a family killed in Jashore road accident, 2 others in Gopalganj","Three women of a family were killed and four others were injured in road accident at Old Kasba Shaheed Mashiur Rahman Road area in Jashore in the wee hours on Saturday.  The deceased were identified as Tanjila Yeasmin, 28, daughter of Yeasin Ali of Dhaka Road area in Jashore town, her sister Tonima Yeasmin Piyasha, 25, wife of Shafiqul Islam, and their sister-in-law Afruza Tabassum Tithi, 35, wife of Monjur Hossain of RN Road area of the town. Monjur is cousin of Tanjila and Tonima. Md Touhidul Islam, assistant superintendent of Jashore police, said the accident took place on Shaheed Moshiur Rahman in Jashore town around 1am when a microbus hit an electric pole, leaving the trio dead on the spot. On information, police rushed to the spot and recovered the bodies. Among the injured, businessman Shafikul Islam Joti, 32, husband of deceased Tonima Yasmin Piyasha, Manjinur, 4, daughter of deceased Afroza Tabassum Tithi, Shahin, 26, and Hriday, 30, were admitted in Jashore 250-bed hospital. Of them, the condition of child Manjinur deteriorated and he was sent to Dhaka for better treatment.Meanwhile, two other women were killed and 15 others injured as a passenger bus hit a roadside tree in Goplaganj Sadar upazila. The deceased were identified as Ramecha Begum, 50, of Chamta village and Shafali Bala, 40, hailed from Moksudpur Upazila. Officer-in-Charge (OC) of Gopalganj Sader Thana Monirul Islam said the accident occurred at around 10 am at Vennabari on Gopalganj-Tekerhat Road as the driver of the bus lost his control over steering wheels.Besides, an unidentified woman, around 35, was killed under the wheels of a Rajshahi bound train at Dumdia in the upazila this morning, said OC Monirul Islam. The body was sent to Gopalganj General Hospital."
156,"3 killed, 5 injured in Ctg road accident","Inspector of Patiya Highway Police Bimal Chandra Bhoumik said the accident occurred when a Cox’s Bazar-bound passengers bus collided head-on with a Chattogram-bound bus in the area around 11 am, leaving eight passengers of both the buses injured. Of the wounded, six were admitted to Chattogram Medical College Hospital (CMCH) and the rest two were taken to a private hospital, Jahirul Islam, in-charge of CMCH police outpost, told to media.Jahid and Faruk succumbed to their injuries at CMCH while Nigar Sultana died at a private hospital, Sayeed Golam Haider Mintu, relative of Nigar and Jahid confirmed. Police detained both the buses but none was arrested in this connection, said Khurshed Alam, sub-inspector of Patiya thana police."
157,3 killed in Jhenidah road accidents,"According to police, a three-wheeler (nosimon) driver Kamal Hossain, 35, was killed and five others injured at Bazrapur village of on Jibannagar-Moheshpur highway when the three wheeler met an head on collision with a truck.The fire fighters rescued them and sent the injured to Kotchandpur upazila health complex. The attending physician declared another dead. Condition of two others is reported to be critical. They were referred to Jashore general hospital, the hospital sources said.A class four student Roni Ahmed, 10, was crushed to dead on the spot under the wheels of a speeding microbus when he accidentally came to the road at Shapur-Ghighati area on Kaliganj-Jibannagar road.The police said Roni was playing following inter school sports competition for the school. The tragic accident created shock among the teachers, students, guardians and locals."
158,7855 killed in road accidents in 2019: Report,"General Secretary of Bangladesh Jatri Kalyan Samity Md Muzammel Haque released the report at a press conference at Crime Reporters Association of Bangladesh in the capital city.Desperate driving, risky overtaking, faulty roads, unfit vehicles, carelessness of passengers and pedestrians, unskilled drivers and using cell phones by drivers of running vehicles are the main reasons of road disasters, said the report.Besides, there is an 8.07 per cent increase in deaths by road mishaps last year than the previous year. The report added addict drivers and vehicles which cross railway crossing meet the tragic road accidents.Apart from these, inadequate pavement, weak railway law and increasing of light vehicles are also responsible for the accidents those are taking away lives every day.The report also said that 219 and 469 people were killed in 203 and 482 accidents respectively occurred in water and railways. 282 people were injured and 375 went missing during the accidents in waterways, whereas 706 got injured in rail accidents, it added.Md Muzammel Haque said proper repairing and renovation of many faulty parts of highways can reduce road disasters on the highway significantly.He suggested a lot of initiatives to reduce road disasters. These include setting up of CC cameras on roads, strict implementation of the road transportation act 2018, removal of haat-bazars along local and national road sides and drawing of zebra crossing and traffic lines in all roads and highways all over the country.However, he requested to train up drivers and make a training academy for the traffic police officers. New and fit vehicles should be introduced as per the demand of the time, he added. He urged the journalists to publish and telecast anti-road accident contents in media to create awareness among  people."
159,"Six killed including doctor, police in road accident","The deceased were identified as  Dr Shariful Islam Hadi of Cholana village of Boalmari Upazila, his daughter Tabassum, his sister in law Takia, his niece Tanju, Sub-inspector (SI) of Police Faruk Hossain and the driver of the microbus Nahid of Narail. In the accident, Ribbi, wife of Dr. Shariful Islam, was seriously injured.Additional Superintendent of Police Saifuzzaman said the accident took place at around 6.30 am this morning. The microbus was on its way from Boalmari upazila to Dhaka. On the other hand, a bus of Mamun Paribahan running on Dhaka-Sunamganj route was going to Khulna. Two vehicles collided head-on, on the Dhaka-Khulna highway near the Karimpur Bridge in Mallikpur.  Six microbus passengers were killed on the spot. One female passenger was injured. He said the dense fog since last night could be a major reason behind the accident. "
160,Man killed in city road accident,
161,Road accident kills two in Gopalganj,
162,Motorcyclist killed in city road accident,"Sub-Inspector (SI) of Jatrabari Police Station Mohoshin Ali said the accident occurred when a passengers bus hit the motorcycle in Shonir Akhra Rana CNG pump area, leaving Rasel dead on the spot. Rasel was taken to Dhaka Medical College Hospital, where the on-duty doctors declared him dead. Rasel was working as a mechanic in a mobile shop. The body was kept at Dhaka Medical College Hospital morgue for post-mortem."
163,Road accident kills two in Cumilla,"The deceased were identified as Saiful Islam, 33, and his pregnant wife Rumi Akhter, 19. SI of Miabari Highway Police Outpost Abu Bakkar Siddique said the accident occurred when a Noakhali-bound microbus fell into a roadside ditch. as its driver lost control over the steering, leaving the duo dead on the spot.Highway police and fire service officials rushed to the spot, rescued the bodies and sent the injured to Chauddagram Upazila Health Complex.Later, the injured driver shifted to Cumilla Medical College as his condition deteriorated and the bodies have been kept in the hospital morgue,the police outpost officials confirmed."
